Absent	Absent	Ausente
Backoffice	Backoffice	Backoffice
Date	Date	Fecha
Description	Description	Descripción
Intention	Intention	Intención
Notes	Notes	Notas
(Optional)	(Facultatif)	(Opcional)
Actions	Actions	Acciones
Active	Actif	Activo
Add Department	Ajouter un département	Agregar departamento
Add First Record	Ajouter le premier enregistrement	Agregar primer registro
Add Giving Record	Ajouter un enregistrement de don	Agregar registro de ofrenda
Add Member	Ajouter un membre	Agregar miembro
Add Members	Ajouter des membres	Agregar miembros
Add Members to Training	Ajouter des membres à la formation	Agregar miembros a la formación
Add Task	Ajouter une tâche	Agregar tarea
Add Visitor	Ajouter un visiteur	Agregar visitante
Add skill	Ajouter une compétence	Agregar habilidad
Add task	Ajouter une tâche	Agregar tarea
Additional comments or notes (optional)	Commentaires ou notes supplémentaires (facultatif)	Comentarios o notas adicionales (opcional)
Address	Adresse	Dirección
Admin	Admin	Administrador
Admin Panel	Panneau d'administration	Panel de administración
All church services	Tous les cultes	Todos los servicios de la iglesia
All members are already enrolled in this class	Tous les membres sont déjà inscrits à cette classe	Todos los miembros ya están inscritos en esta clase
Announcement created successfully	Annonce créée avec succès	Anuncio creado correctamente
Apply	Appliquer	Aplicar
Are you sure you want to delete this event?	Êtes-vous sûr de vouloir supprimer cet événement ?	¿Está seguro de que desea eliminar este evento?
Are you sure you want to remove this registration?	Êtes-vous sûr de vouloir supprimer cette inscription ?	¿Está seguro de que desea eliminar este registro?
Assignee filter	Filtre par assigné	Filtro por asignado
At least email or phone is required	Au moins un e-mail ou un téléphone est requis	Se requiere al menos un correo electrónico o un teléfono
Attendance	Présence	Asistencia
Attendance Trend	Tendance de présence	Tendencia de asistencia
Avg attendance	Présence moyenne	Asistencia promedio
Basic information	Informations de base	Información básica
Birthday	Date de naissance	Fecha de nacimiento
Birthday *	Date de naissance *	Fecha de nacimiento *
Change Password	Changer le mot de passe	Cambiar contraseña
Choose from gallery	Choisir dans la galerie	Elegir de la galería
Church Attendance	Présence au culte	Asistencia a la iglesia
